"EmployeeNumber","EnvironmentSatisfaction","JobInvolvement","JobSatisfaction","WorkLifeBalance"
"162","1","3","3","3"
"259","3","2","3","3"
"319","3","3","4","3"
"1443","1","3","3","4"
"1863","1","4","1","3"
"1900","4","3","4","3"
"81","1","3","1","2"
"387","2","3","3","3"
"625","2","3","1","3"
"999","1","3","3","4"
"1035","2","1","3","3"
"1373","4","3","2","3"
"2015","2","1","3","3"
"58","2","3","3","3"
"254","3","4","2","3"
"558","3","3","3","3"
"825","4","3","2","3"
"1204","3","3","1","3"
"1621","2","4","1","3"
"1628","1","2","3","3"
"1712","3","2","3","2"
"73","1","3","4","3"
"83","3","3","3","3"
"820","3","3","4","2"
"857","2","3","4","2"
"880","4","2","3","3"
"1038","1","1","4","3"
"1294","3","3","2","3"
"1549","2","3","3","3"
"1774","4","3","3","3"
"1815","3","3","3","4"
"1993","1","3","3","3"
"32","3","3","3","2"
"100","3","2","1","3"
"138","1","3","3","3"
"244","2","3","1","3"
"327","4","3","4","3"
"373","4","3","4","3"
"573","3","2","1","4"
"729","4","2","1","3"
"830","3","2","3","3"
"957","4","3","1","3"
"981","3","3","3","4"
"1042","3","4","1","3"
"1080","4","2","1","3"
"1995","4","3","2","3"
"145","1","2","1","2"
"158","3","3","4","4"
"391","4","3","4","3"
"436","3","2","2","3"
"950","4","3","1","3"
"1527","3","3","2","4"
"1639","4","2","1","3"
"1866","1","2","3","3"
"2026","3","3","3","2"
"2036","4","1","4","2"
"107","2","1","4","3"
"170","3","3","1","2"
"182","4","2","3","4"
"215","3","2","4","2"
"304","4","3","2","4"
"529","2","3","3","3"
"691","2","1","4","3"
"692","3","3","4","1"
"1005","4","3","3","3"
"1024","3","2","3","3"
"1039","4","4","4","3"
"1225","4","3","4","3"
"1375","2","4","3","3"
"1383","3","3","4","4"
"1630","3","3","3","3"
"1656","4","2","1","3"
"1661","3","2","3","3"
"1668","4","3","4","4"
"1698","2","4","2","3"
"1827","3","2","2","3"
"1937","4","2","2","3"
"2017","3","4","4","3"
"117","3","2","4","3"
"131","4","3","3","2"
"153","3","2","1","3"
"165","4","3","4","2"
"307","1","3","3","2"
"312","2","3","4","3"
"374","4","3","1","3"
"410","4","3","2","3"
"417","3","4","4","2"
"461","3","2","4","3"
"520","1","2","2","3"
"524","2","3","1","1"
"569","2","2","3","3"
"899","4","2","2","3"
"987","3","4","3","4"
"1014","3","3","3","2"
"1092","1","3","4","3"
"1117","2","2","3","3"
"1238","1","3","4","3"
"1257","3","3","2","2"
"1277","1","1","2","3"
"1282","4","3","2","2"
"1541","2","3","3","3"
"1666","3","2","3","3"
"1696","2","2","4","4"
"1805","1","3","2","3"
"1867","4","2","2","3"
"1932","3","2","4","3"
"2016","3","3","4","3"
"20","2","4","1","3"
"124","3","2","1","2"
"184","3","3","4","1"
"206","2","3","2","1"
"228","2","3","4","3"
"239","3","3","1","3"
"256","4","2","3","2"
"296","2","2","2","1"
"339","4","2","1","3"
"406","3","3","2","2"
"425","1","3","1","3"
"429","3","3","1","3"
"442","3","2","3","3"
"444","3","2","4","3"
"452","4","3","4","3"
"456","4","2","3","3"
"462","3","3","4","2"
"481","1","2","4","3"
"513","2","2","3","3"
"597","1","3","2","3"
"600","2","3","3","3"
"605","4","3","1","2"
"630","4","3","1","3"
"638","4","2","3","3"
"683","2","3","4","2"
"780","4","3","4","2"
"817","3","3","3","4"
"901","4","3","4","3"
"944","1","3","2","2"
"984","4","3","4","3"
"1088","3","2","3","2"
"1124","1","3","3","3"
"1133","1","3","4","3"
"1167","3","3","1","2"
"1184","4","2","1","3"
"1241","4","3","2","3"
"1250","4","3","4","3"
"1252","3","2","1","3"
"1267","2","3","2","3"
"1278","4","2","2","3"
"1288","3","4","1","2"
"1289","3","2","2","4"
"1307","3","2","2","3"
"1336","4","1","3","3"
"1352","3","3","2","3"
"1360","3","2","1","2"
"1363","4","3","4","3"
"1419","2","2","1","2"
"1478","4","1","1","3"
"1480","1","3","4","3"
"1483","2","4","3","2"
"1489","1","2","2","4"
"1520","2","3","4","3"
"1535","4","2","3","3"
"1586","2","3","1","3"
"1596","2","4","3","2"
"1667","4","3","4","4"
"1701","2","2","4","3"
"1706","4","3","4","3"
"1824","2","3","2","2"
"1880","2","2","3","3"
"1971","1","3","3","3"
"1973","3","4","2","3"
"1976","4","2","3","3"
"1985","4","3","3","4"
"2032","4","3","3","1"
"2056","2","2","4","2"
"23","1","2","4","3"
"56","4","3","3","3"
"57","3","3","4","3"
"74","2","3","1","2"
"78","1","3","4","3"
"104","4","2","4","2"
"118","3","2","4","3"
"121","3","2","2","2"
"125","2","3","3","3"
"204","3","3","2","3"
"207","2","3","4","3"
"227","1","3","3","3"
"253","4","3","3","3"
"264","1","2","4","3"
"291","4","1","4","2"
"292","3","2","3","3"
"306","2","3","4","3"
"311","1","3","4","3"
"335","1","3","4","3"
"419","2","3","2","3"
"420","4","2","3","2"
"421","1","2","2","3"
"441","4","3","4","3"
"531","2","3","3","3"
"549","1","3","1","1"
"567","3","3","1","3"
"581","3","3","2","4"
"702","1","3","1","3"
"716","4","4","3","3"
"772","1","3","4","3"
"836","2","3","2","2"
"840","3","3","4","4"
"844","3","2","4","3"
"855","1","4","1","3"
"867","3","2","4","3"
"889","2","3","2","3"
"924","3","3","4","2"
"947","4","3","3","2"
"958","3","3","3","3"
"976","4","3","4","2"
"992","4","3","3","3"
"1002","4","3","1","3"
