"EmployeeNumber","JobRole","Department","JobLevel","BusinessTravel","Attrition"
"162","Research Director","Research & Development","5","Travel_Rarely","No"
"259","Manager","Research & Development","5","Travel_Rarely","No"
"319","Manager","Research & Development","5","Travel_Rarely","No"
"1443","Research Director","Research & Development","4","Travel_Rarely","No"
"1863","Sales Executive","Sales","4","Travel_Rarely","No"
"1900","Manager","Research & Development","4","Travel_Frequently","No"
"81","Sales Executive","Sales","3","Travel_Rarely","No"
"387","Sales Executive","Sales","2","Travel_Rarely","No"
"625","Manager","Sales","4","Travel_Rarely","No"
"999","Research Director","Research & Development","5","Travel_Frequently","No"
"1035","Research Director","Research & Development","5","Non-Travel","No"
"1373","Manufacturing Director","Research & Development","4","Travel_Rarely","No"
"2015","Research Director","Research & Development","3","Travel_Rarely","No"
"58","Research Director","Research & Development","5","Travel_Rarely","Yes"
"254","Research Director","Research & Development","5","Travel_Rarely","No"
"558","Manager","Sales","5","Travel_Rarely","No"
"825","Research Director","Research & Development","5","Travel_Rarely","Yes"
"1204","Manager","Sales","4","Travel_Rarely","No"
"1621","Research Scientist","Research & Development","2","Travel_Rarely","No"
"1628","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1712","Healthcare Representative","Research & Development","3","Non-Travel","No"
"73","Research Director","Research & Development","3","Travel_Frequently","No"
"83","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"820","Manager","Research & Development","4","Travel_Rarely","No"
"857","Sales Executive","Sales","2","Travel_Rarely","No"
"880","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1038","Manager","Sales","5","Travel_Rarely","Yes"
"1294","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"1549","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"1774","Sales Executive","Sales","2","Non-Travel","No"
"1815","Sales Executive","Sales","3","Travel_Rarely","No"
"1993","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"32","Manager","Research & Development","5","Travel_Rarely","No"
"100","Sales Executive","Sales","2","Travel_Rarely","No"
"138","Research Scientist","Research & Development","2","Travel_Rarely","No"
"244","Sales Executive","Sales","3","Travel_Rarely","No"
"327","Manager","Sales","4","Travel_Rarely","No"
"373","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"573","Sales Executive","Sales","3","Travel_Frequently","No"
"729","Sales Executive","Sales","3","Travel_Frequently","No"
"830","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"957","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"981","Manager","Sales","4","Travel_Rarely","No"
"1042","Laboratory Technician","Research & Development","1","Travel_Rarely","Yes"
"1080","Research Scientist","Research & Development","2","Travel_Rarely","No"
"1995","Sales Executive","Sales","2","Travel_Rarely","No"
"145","Healthcare Representative","Research & Development","3","Travel_Frequently","No"
"158","Manager","Sales","4","Travel_Frequently","No"
"391","Research Scientist","Research & Development","1","Travel_Rarely","No"
"436","Sales Executive","Sales","2","Travel_Rarely","No"
"950","Research Director","Research & Development","3","Travel_Rarely","No"
"1527","Manager","Sales","4","Travel_Rarely","No"
"1639","Sales Executive","Sales","3","Travel_Rarely","Yes"
"1866","Manager","Research & Development","5","Travel_Rarely","No"
"2026","Healthcare Representative","Research & Development","2","Non-Travel","No"
"2036","Sales Executive","Sales","2","Non-Travel","No"
"107","Research Scientist","Research & Development","2","Non-Travel","No"
"170","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"182","Sales Executive","Sales","2","Travel_Rarely","No"
"215","Sales Executive","Sales","3","Travel_Rarely","No"
"304","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"529","Research Scientist","Research & Development","2","Non-Travel","No"
"691","Research Scientist","Research & Development","2","Travel_Rarely","No"
"692","Healthcare Representative","Research & Development","2","Travel_Frequently","No"
"1005","Manufacturing Director","Research & Development","4","Travel_Rarely","No"
"1024","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1039","Sales Executive","Sales","4","Travel_Rarely","No"
"1225","Research Scientist","Research & Development","2","Travel_Rarely","No"
"1375","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
